Scope 3 — 카테고리별 대표 배출계수 및 산정 방법,,,,,,,,
"  ★ Scope 3는 카테고리별로 활동 데이터 단위와 계수 출처가 다릅니다. 아래 값은 한국 실무에서 Secondary Data로 사용하는 대표값이며, 공급사 실데이터(Primary)가 있으면 우선 적용하세요.",,,,,,,,
Cat.,구분,카테고리,"활동 데이터
단위",★대표 배출계수,계수 단위,출처 DB,산정식 예시,실무 메모·난이도
5,업스트림,"사업장 폐기물
(소각)",폐기물량(톤),0.92,tCO₂eq/톤,IPCC 폐기물 계수,소각 폐기물(톤) × 0.92,소각 방법(열회수 여부)에 따라 상이
5,업스트림,"사업장 폐기물
(재활용)",폐기물량(톤),0.01,tCO₂eq/톤,IPCC / ecoinvent,재활용 폐기물(톤) × 0.01,재활용 전 운반·처리 에너지만 산정
6,업스트림,"출장
(국내선 항공)",이동거리(인·km),0.255,kgCO₂eq/인·km,"DEFRA 2024
출장 계수",이동(인)×거리(km)×0.000255,★ HR 출장비 정산 데이터와 연계. 좌석 등급별 계수 상이
6,업스트림,"출장
(국제선 항공 — 이코노미)",이동거리(인·km),0.195,kgCO₂eq/인·km,DEFRA 2024,이동(인)×거리(km)×0.000195,"비즈니스 ×3, 퍼스트 ×4 가중치"
6,업스트림,"출장
(KTX·철도)",이동거리(인·km),0.041,kgCO₂eq/인·km,"환경부 수송
배출계수",이동(인)×거리(km)×0.000041,
7,업스트림,"임직원 통근
(자가용 — 가솔린)",이동거리(인·km),0.17,kgCO₂eq/인·km,DEFRA 2024,인원×편도거리×출근일×2×0.000170,★★ 통근 실태조사 필요. 재택근무 비율 차감
7,업스트림,"임직원 통근
(대중교통 — 버스)",이동거리(인·km),0.089,kgCO₂eq/인·km,"환경부 수송
배출계수",인원×편도거리×출근일×2×0.000089,
11,다운스트림,"판매 제품 사용
(전기전자 제품)",판매대수(대)·수명(년),제품/투자별 상이,tCO₂eq/대·년,제품 소비전력 스펙,"소비전력(kW)×사용시간(h/년)
×전력계수(0.4567)÷1000",★★ 제품 스펙시트 필수. 가중평균 사용시간 가정 필요
11,다운스트림,"판매 제품 사용
(자동차)",판매대수(대)·수명(년),제품/투자별 상이,tCO₂eq/대·년,연비 스펙 + 연료계수,"연간주행(km)÷연비(km/L)
×연료계수(tCO₂eq/L)","국내 평균 연간주행 15,000km 가정"
15,다운스트림,"투자 (금융업)
— 기업대출",대출잔액(억원),제품/투자별 상이,tCO₂eq/억원,"PCAF Standard
+ 피투자기업 공시","대출액×(피투자기업 배출량
÷기업가치(EVIC))",★★★ PCAF Attribution Factor 적용. 피투자기업 배출량 공시 필요
"※ Scope 3 배출계수는 카테고리·품목·운송수단별로 단위가 다릅니다. 위 값은 Secondary 기본값(한국 실무 기준)이며, 공급사·운송사 실데이터(Primary) 확보 시 반드시 대체하세요. Cat.11·15는 제품/투자별 개별 산정 필요.",,,,,,,,
